STUDENT_ID,GRADE
529140,36
499658,52
487507,30
519475,43.5
498593,55
518917,47.5
498301,44.5
518157,30
472092,55
498448,24.5
508339,34
498316,54
508687,52
508929,55
508179,55
509074,53
509502,40
508582,54
510193,54.5
509822,50
513789,47.5
520813,35
518194,50
518223,7
518325,47.5
511320,52
518872,55
518880,50
519242,22
518897,53
519749,33
519563,55
520850,4
521463,46.5
527238,55
520806,55
520201,41.5
527636,55
529757,55
528551,4
528687,55
528620,29
509531,36
528696,55
526792,37
519146,4
530349,52
528642,29
